#URSI, topside IRI-corr, F2 storm model on
# Year, nday, UT, Lon, Lat, TEC(TECU), NmF2 (10^12 m-3)
2017 219  0.0  140.0   75.0   5.88  0.203804
2017 219  0.0  145.0   75.0   5.96  0.206403
2017 219  0.0  150.0   75.0   6.05  0.208916
2017 219  0.0  155.0   75.0   6.13  0.211334
2017 219  0.0  160.0   75.0   6.20  0.213633
2017 219  0.0  165.0   75.0   6.28  0.215780
2017 219  0.0  170.0   75.0   6.34  0.217747
2017 219  0.0  175.0   75.0   6.40  0.219525
2017 219  0.0  180.0   75.0   6.46  0.221095
2017 219  0.0 -175.0   72.5   6.81  0.228651
2017 219  0.0 -170.0   72.5   6.85  0.229822
2017 219  0.0 -165.0   72.5   6.88  0.230636
2017 219  0.0 -160.0   72.5   6.90  0.231109
2017 219  0.0 -155.0   72.5   6.92  0.231240
2017 219  0.0 -150.0   72.5   6.92  0.230992
2017 219  0.0 -145.0   72.5   6.77  0.230366
2017 219  0.0 -140.0   72.5   6.75  0.229370
2017 219  0.0 -135.0   72.5   6.72  0.228013
2017 219  0.0 -130.0   72.5   6.68  0.226307
2017 219  0.0 -125.0   72.5   6.63  0.224271
2017 219  0.0 -120.0   72.5   6.57  0.221923
2017 219  0.0 -115.0   72.5   6.49  0.219290
2017 219  0.0 -110.0   72.5   6.41  0.216397
2017 219  0.0 -105.0   72.5   6.31  0.213277
2017 219  0.0 -100.0   72.5   6.21  0.209966
2017 219  0.0  -95.0   72.5   6.10  0.206498
2017 219  0.0  -90.0   72.5   5.98  0.202903
2017 219  0.0  -85.0   72.5   5.85  0.199199
2017 219  0.0  -80.0   72.5   5.72  0.195395
2017 219  0.0  -75.0   72.5   5.59  0.191491
2017 219  0.0  -70.0   72.5   5.45  0.187489
2017 219  0.0  -65.0   72.5   5.30  0.183394
2017 219  0.0  -60.0   72.5   5.16  0.179210
2017 219  0.0  -55.0   72.5   5.01  0.174951
2017 219  0.0  -50.0   72.5   4.86  0.170640
2017 219  0.0  -45.0   72.5   4.71  0.166299
